product_id,product_name,category,article_type,color,image_filename
15970,Turtle Check Men Navy Blue Shirt,Apparel,Shirts,Navy Blue,15970.jpg
39386,Peter England Men Party Blue Jeans,Apparel,Jeans,Blue,39386.jpg
59263,Titan Women Silver Watch,Accessories,Watches,Silver,59263.jpg
21379,Manchester United Men Solid Black Track Pants,Apparel,Track Pants,Black,21379.jpg
53759,Puma Men Grey T-shirt,Apparel,Tshirts,Grey,53759.jpg
1855,Inkfruit Mens Chain Reaction T-shirt,Apparel,Tshirts,Grey,1855.jpg
30805,Fabindia Men Striped Green Shirt,Apparel,Shirts,Green,30805.jpg
26960,Jealous 21 Women Purple Shirt,Apparel,Shirts,Purple,26960.jpg
29114,Puma Men Pack of 3 Socks,Accessories,Socks,Navy Blue,29114.jpg
30039,Skagen Men Black Watch,Accessories,Watches,Black,30039.jpg
9204,Puma Men Future Cat Remix SF Black Casual Shoes,Footwear,Casual Shoes,Black,9204.jpg
48123,Fossil Women Black Huarache Weave Belt,Accessories,Belts,Black,48123.jpg
18653,Fila Men Cush Flex Black Slippers,Footwear,Flip Flops,Black,18653.jpg
47957,Murcia Women Blue Handbag,Accessories,Handbags,Blue,47957.jpg
46885,Ben 10 Boys Navy Blue Slippers,Footwear,Flip Flops,Navy Blue,46885.jpg
12369,Reid & Taylor Men Check Purple Shirts,Apparel,Shirts,Purple,12369.jpg
29928,Police Men Black Dial Watch PL12889JVSB,Accessories,Watches,Black,29928.jpg
42419,Gini and Jony Girls Knit White Top,Apparel,Tops,White,42419.jpg
51832,Bwitch Beige Full-Coverage Bra BW335,Apparel,Bra,Beige,51832.jpg
47359,Baggit Women Brown Handbag,Accessories,Handbags,Brown,47359.jpg
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Accessories,Watches,Black,17429.jpg
12967,ADIDAS Men Spry M Black Sandals,Footwear,Sandals,Black,12967.jpg
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Accessories,Shoe Accessories,Black,6842.jpg
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Apparel,Sweatshirts,Grey,13089.jpg
18461,David Beckham Signature Men Deos,Personal Care,Deodorant,White,18461.jpg
9036,Buckaroo Men Flores Black Formal Shoes,Footwear,Formal Shoes,Black,9036.jpg
48311,Pitaraa Women Bronze Beaded Bracelet,Accessories,Bracelet,Bronze,48311.jpg
7990,Fila Men's Round Neck Navy Blue T-shirt,Apparel,Tshirts,Navy Blue,7990.jpg
56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Personal Care,Lipstick,Brown,56019.jpg
21977,Murcia Women Casual Brown Handbag,Accessories,Handbags,Brown,21977.jpg
37812,John Players Men Navy Blue Shirt,Apparel,Shirts,Navy Blue,37812.jpg
4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Apparel,Tshirts,Green,4729.jpg
56825,John Players Men Brown Shirt,Apparel,Shirts,Brown,56825.jpg
39988,Gas Men Europa White Shoes,Footwear,Casual Shoes,White,39988.jpg
59051,Carlton London Women Black & Gold Toned Flats,Footwear,Flats,Black,59051.jpg
20099,Diva Women Embroided Green Kurta,Apparel,Kurtas,Green,20099.jpg
58183,Rocky S Women White Handbag,Accessories,Handbags,White,58183.jpg
29742,Kiara Women Teal Handbag,Accessories,Handbags,Teal,29742.jpg
51658,Fossil Women Copper Chronograph Watch CH2589,Accessories,Watches,Copper,51658.jpg
3954,Jealous 21 Women's Pink T-shirt,Apparel,Tshirts,Pink,3954.jpg
18839,Peter England Men Formal Black Belt,Accessories,Belts,Black,18839.jpg
2886,Catwalk Women Leather Brown Flats,Footwear,Flats,Brown,2886.jpg
23278,Maxima Ssteele Men Off White Watch,Accessories,Watches,Off White,23278.jpg
28690,W Women Printed Beige Kurta,Apparel,Kurtas,Beige,28690.jpg
8580,Scullers Men  Grey Waistcoat,Apparel,Waistcoat,Grey,8580.jpg
3168,Nike Men's Incinerate MSL White Blue Shoe,Footwear,Sports Shoes,White,3168.jpg
18005,Puma Men Long Logo Black Bermuda,Apparel,Shorts,Black,18005.jpg
17871,Levis Men Boxer Maroon Brief,Apparel,Briefs,Maroon,17871.jpg
9452,John Miller Men Stripes White Red Shirts,Apparel,Shirts,Red,9452.jpg
38402,Baggit Women Hood Dabang Black Belt,Accessories,Belts,Black,38402.jpg
44984,Maxima Women White Dial Watch,Accessories,Watches,White,44984.jpg
10268,Clarks Men Hang Work Leather Black Formal Shoes,Footwear,Formal Shoes,Black,10268.jpg
45856,Vishudh Women Brown Kurta,Apparel,Kurtas,Brown,45856.jpg
32138,Playboy Men Blue Titanium Briefs,Apparel,Briefs,Blue,32138.jpg
59435,Arrow Men Black Formal Shoes,Footwear,Formal Shoes,Black,59435.jpg
5891,Puma Men's Stripe Polo Black T-shirt,Apparel,Tshirts,Black,5891.jpg
38630,Nike Women Purple Polo T-shirt,Apparel,Tshirts,Purple,38630.jpg
4943,Gini and Jony Boy's Kaleb White Brown Kidswear,Apparel,Shirts,White,4943.jpg
11188,Carrera Men Dial steel finish strap Silver Watches,Accessories,Watches,Silver,11188.jpg
10866,Wrangler Men Motor Rider Red T-Shirts,Apparel,Tshirts,Red,10866.jpg
59607,FNF Pink & Grey Wedding Collection Sari,Apparel,Sarees,Grey,59607.jpg
15528,Puma Men Scribble Black Tshirts,Apparel,Tshirts,Black,15528.jpg
45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Accessories,Watches,Black,45258.jpg
42841,French Connection Women Beige Handbag,Accessories,Handbags,Beige,42841.jpg
22198,Timberland Men Black Casual Shoes,Footwear,Casual Shoes,Black,22198.jpg
29570,Vans Men Classic Slip-On Purple & Black Shoes,Footwear,Casual Shoes,Purple,29570.jpg
43993,Police Women Passion Perfume,Personal Care,Perfume and Body Mist,Pink,43993.jpg
6628,ADIDAS Men's Lowell White Silver Shoe,Footwear,Sports Shoes,White,6628.jpg
54924,Do U Speak Green Men Blue Shorts,Apparel,Shorts,Blue,54924.jpg
26538,ID Men Red Shoes,Footwear,Casual Shoes,Red,26538.jpg
35913,Peperone Women Black & White Handbag,Accessories,Handbags,Black,35913.jpg
49495,Vans Men Khaki Shoes,Footwear,Casual Shoes,Khaki,49495.jpg
9660,Indigo Nation Men Reversible Bling Pink Shirts,Apparel,Shirts,Pink,9660.jpg
2288,Nike Women Black T-shirt,Apparel,Tshirts,Black,2288.jpg
23876,ADIDAS Men Blue Sweatshirt,Apparel,Sweatshirts,Blue,23876.jpg
18237,Manchester United Men Solid Red Tshirt,Apparel,Tshirts,Red,18237.jpg
54118,Rocia Women Black Flats,Footwear,Heels,Black,54118.jpg
2872,Catwalk Women Leather Flats,Footwear,Heels,Brown,2872.jpg
49653,Mineral Women Green Top,Apparel,Tops,Green,49653.jpg
8574,Crocs Dora Boots Pink Sandals,Footwear,Sandals,Pink,8574.jpg
16957,Image Men Sunglasses,Accessories,Sunglasses,Black,16957.jpg
19123,Lotto Men XL Water Man Silver Slippers,Footwear,Flip Flops,Silver,19123.jpg
13419,United Colors of Benetton Men Solid Pink Polo T-shirts,Apparel,Tshirts,Pink,13419.jpg
17885,Levis Men Comfort Style Grey Innerwear Vest,Apparel,Innerwear Vests,Grey,17885.jpg
43369,Reebok Men Black Possession Flip Flops,Footwear,Flip Flops,Black,43369.jpg
48781,Lucera Women Silver Pendant,Accessories,Pendant,Silver,48781.jpg
44970,Maxima Men White Dial Analog Chronograph Watch,Accessories,Watches,White,44970.jpg
56489,Streetwear Ash Nail Polish # 31,Personal Care,Nail Polish,Bronze,56489.jpg
39524,Peter England Unisex Orange Sleeve Bag,Accessories,Laptop Bag,Orange,39524.jpg
33822,Puma Men Axis White & Grey Sports Shoes,Footwear,Sports Shoes,White,33822.jpg
58513,Tonga Women Maroon Top,Apparel,Tops,Off White,58513.jpg
25947,Femella Women Brown Scarf,Accessories,Scarves,Brown,25947.jpg
52029,Just Natural Unisex Charcoal Rain Jacket,Apparel,Rain Jacket,Coffee Brown,52029.jpg
5865,ADIDAS Men's Twelve Faster T-shirt,Apparel,Tshirts,Black,5865.jpg
39716,Arrow Woman Women Blue Dress,Apparel,Dresses,Blue,39716.jpg
