original_product_id,class_name,return_reason_text,article_type,product_id,image_filename
1080,Dresses,"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",Dresses,48478,48478.jpg
1077,Dresses,"First of all, this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.

second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.

not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!",Dresses,34598,34598.jpg
1082,Dresses,"The design/shape of the dress are quite flattering, flirty and feminine. but.... there is no way that the dress i received is new. the color is a faded washed out red and there are black stains all over the belt area. there is no tag... the fabric looks droopy and laundered and is not crisp, stiff or new. i am very disappointed by the quality of the item that i received. undoubtedly this one is going back.

dear retailer - please make sure that you do not send pre-owend clothing articles to",Dresses,27224,27224.jpg
1094,Dresses,"The colors are vivid and perfectly autumnal but the fit is a mess. it was overall too large, the waistline curves up in the front and then falls into small pleats which was maternityish, the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly. had the outer dress been made from the same material as the lining, i would have liked it better. the modesty closure was a plus but the dress was already unraveling when i took it out. #returned",Dresses,57051,57051.jpg
1020,Skirts,"The skirt that i received had very little blue or green in it, and was mostly white, yellow and some red. the fit was fine but the quality for the price was not there for me. the lack of quality and the disappointment in the quality equals a return.",Skirts,13263,13263.jpg
1066,Pants,I have a similar pair of capris from retailer and when i ordered these i thought they were the same in a different color. these are less flattering and i may not keep them.,Trousers,16056,16056.jpg
995,Skirts,"This skirt is very short. i ordered my usual xs petite and it was so short that the longest part ended above my ankle. that's quite off because i'm only 5 feet tall, and i wore it pretty low on the hips. it also flares out awkwardly below the knee. there are 2 vertical seems and they exacerbate the jagged appearance of the hem. i was drawn to the edgy style shown in the photo but in person it looks like my 5 year old cut up a skirt. plus, the fabric--while thick and beautiful and stretchy--has a",Skirts,57091,57091.jpg
1104,Dresses,"I don't normally review my purchases, but i was so amazed at how poorly this dress was made, i couldn't help myself but to post a review. the neck line isn't even hemmed down so it flaps up. the material is thin and feel cheap. this dress isnt even worth $20 in my opinion. i was expecting a well made, good quality dress for the high price tag.",Dresses,52128,52128.jpg
1083,Dresses,"I love byron lars dresses, and this design is on-point. the ruffle at the neckline is so pretty, and the dress fits like a dream. however -- the fabric!!! i would have loved it if this dress had a heavier feel. this is, sadly, going back today.",Dresses,59995,59995.jpg
1077,Dresses,"Three strikes and retailer is out for me! i am so disappointed. i really liked this dress and was looking for a fun, distinctive new shift dress. got it, tried it on, took it off, went back to look at the listing online...nowhere does it mention that it has a drop-seam in the shoulders. i guess you can see it if you zoom in closely on the image, but it's not mentioned in the text. who on god's green earth actually looks good with a drop-shoulder?! it hits every woman under 5'10"" right in the middl",Dresses,4992,4992.jpg
1078,Dresses,The fun colors drew me to this but it sure fit weird. the top was fine but it became a bit tent-like in the waist. the material doesn't feel great either.,Dresses,26355,26355.jpg
1078,Dresses,"I loved this dress when i saw it. however the fit was way off. i am 5'7"" 120 lbs and the small was way too big from the waist down. when the xs arrived i was sure it would be perfect. unfortunately the waist hit way too high, above my rib cage and the dress was too short. it was as if it was a petite size. i was very disappointed as this is such a pretty, easy dress to just throw on for school. unfortunately neither size looked right on me and i had to return both. the material is also not the s",Dresses,59994,59994.jpg
1037,Jeans,"These run very small!! they are also short, almost like a crop pant. the fit was so weird that i won't even exchange for a bigger size.",Jeans,57073,57073.jpg
995,Skirts,It looks like you are wearing cargo shorts. really unflattering. avoid buying this skirt,Skirts,13263,13263.jpg
1059,Pants,"I love the fit of these pants -- they're the perfect slim black pants. however, i wore these pants exactly three times before the seams split the middle of the pant in not just one, but multiple places. disappointed by the workmanship/quality of the product, especially since the pants fit amazingly and don't sag like other slim fitting black pants tend to do. i hope retailer will take this into consideration and improve the quality of future iterations of this product.",Trousers,17580,17580.jpg
1059,Pants,"I waited three months for these pants. when they finally arrived, i was mostly pleased. they seemed like the staple pant everyone is raving about. and they should have been.
problem one: they bag out. i got one wear out of them before i needed to wash and hang to dry (regained shape then).
problem two: the crotch split! in the front! i'm a teacher. i sincerely hope no one noticed! i read other reviews about this problem and don't know if i got a bad batch or if a similar fate is awaiting other",Trousers,44313,44313.jpg
1059,Pants,"Like others, i finally received my size 6p black pants after months of waiting.  for starters, these pants run small, so i ordered a size up but still in petite, because i adored the red ones i got this past summer.  when the black pants arrived, they were a full three inches shorter than the red ones (which were also 6p), and the fabric did not feel anywhere close to the same quality.  i'm debating ordering the regular length, but i'm not sure i'll bother, based on some of the other reviews.",Trousers,8954,8954.jpg
1059,Pants,"I am normally between a size 0 and 2, so i ordered these pants in both sizes to make sure i would have a nice pair of black crops to wear to work. the 0 seemed pretty tight all around, so i returned the 0 and kept the 2 even though there was a little bit of room in the waist. of course the size 2 after a few hours of wearing had completely stretched out, was bagging in the crotch area, sliding around on my waist and creasing badly behind the knees. i doubt i will wear these pants more than the o",Trousers,26149,26149.jpg
1110,Dresses,"I don't typically write bad reviews, but this dress is so bad and i want to save someone else from buying it. i read the mostly bad reviews and still purchased anyway (my fault i know). the dress is super stiff ( i know denim can be that way and it is possible it would soften up after a few washes). i'm typically a 6/8 and the size small swallowed me, and the xs was big everywhere except through the bust (i ordered both sizes to try). i wouldn't recommend buying this if you are a size 8 or small",Dresses,40149,40149.jpg
1110,Dresses,Don't buy this dress unless you are normally a medium or larger. order it one or two sizes smaller than your normal size. i ordered an xs and it's more like a medium or large.,Dresses,36749,36749.jpg
1110,Dresses,"The overall styling was great, and the dress is super-cute, if a little thick (it's made of denim, after all). i ordered a size down from my normal, and even then, i was swimming in it. the worst part, and the aspect that will make me return it, is that the arm holes hang down so low that i'd have to wear a tank top under the dress. i'm returning it, though it is really cute and i love this brand. the arm holes killed it for me.",Dresses,38837,38837.jpg
1087,Dresses,"I love retailer and fell in love as soon as i saw this dress online. being 5'10"" i love a quality maxi dress and this one did not disappoint. however, being 5'10"" also means the top sweater overlay hits me way short. it looks ridiculous. i also thought that this was very heavy for a maxi dress and could not imagine wearing it in 80 degree weather. unfortunately after waiting so long for it's arrival this is going back.",Dresses,34592,34592.jpg
1087,Dresses,"I am floored by the amount of positive reviews on this dress! when i received it, it looked nothing like it does on the model. the bottom looked like dirty sand and was completely wrinkled. if you have anything above a c cup, the top looks completely unflattering. i looked so top heavy in this dress! definitely not worth the price. so disappointed.",Dresses,57988,57988.jpg
1110,Dresses,"This didn't work for me. im normally a m (8/10). got this in xs. that was the correct size for me, i believe. however, the armholes were huge. husband said the top of the dress looked like the autobots symbol from transformers and he wanted me to keep it. but, i sent it back.",Dresses,33201,33201.jpg
1072,Dresses,"I just received this in the mail today. first of all there was no slip included and the fabric is totally sheer. the description says ""viscose lining"" so i assume there was a slip and from the picture it looks like it was a beige color. second of all, it was obviously sent from a store where they lost the slip and it was squished into the smallest possible retailer envelope. the fabric is beautiful but the dress is humongous like the previous reviewers said. i ordered a size smaller than us",Dresses,59984,59984.jpg
1060,Pants,"Oh elevenses, i love your pants..the fabrics, the details, the length. i've found elevenses to be classic work pants. reliable, professional, well made. these are none of those things. the cardinal trousers are thin and the rise feels much higher that's it appears in the picture. the red pair are thin, stretchy and cheap. both pairs have to go back. i'm truly sad.",Trousers,10259,10259.jpg
1060,Pants,"I loved the cut of these pants and the button accent on the pockets. however, the material was quite thin and the quality was not great- there were multiple snags along the seams. additionally, at 5'8, 130lbs i was swimming in the size 4. i would have tried sizing down if the quality was better.",Trousers,39794,39794.jpg
1055,Pants,"I wanted these culottes to work so much! the fabric is gorgeous, but the size i ordered didn't fit. i'm normally a size 28 in pants, and i ordered a size 8. it was way too tight and made me look like i had a pooch in the zipper area. not what i wanted it to be. had to return them unfortunately.",Trousers,14690,14690.jpg
1081,Dresses,"Ditto what the first reviewer said, unfortunately. i was so looking forward to receiving this dress but the one received is not the one in the photos. the graphics are fantastic - still love the boats- but the top is not the same and they've added a fabric belt to the finished dress. the fit was perfect except for gapping under the arms (similar, i suspect, to what the first reviewer reported). i was also surprised by the fabric. based on the photos i was expecting something light and semi trans",Dresses,18758,18758.jpg
1055,Pants,Quality is fantastic but i feel like a 14 would have barely made it's way around one leg! this pant is way small in terms of sizing and not a style fit for anyone over a 6. a lot of fabric in the legs. nice pant but not for this girl!,Trousers,26817,26817.jpg
1055,Pants,"These run small (i am 110 and got a size 4), they were a tad tight on top. the waist fit but felt a little too snug, short from waist to crotch and then bloomed out in a nice but stiff ish material. they are a dark blue animal print. i felt like bozo the clown goes to the jungle. they looked so silly i had to laugh. even with the 20% off, these are going back. not even comfortable to lounge around the house in never mind being seen by anyone in person!",Trousers,42251,42251.jpg
1081,Dresses,"I loved the photo of this dress. upon examination of the dress (and trying it on) after receiving in the mail, the dress shown online is nothing like the dress i received save for the pattern. the dress i received has a side zip as well as a belt and no pleats on the top. the bottom is also cut straight across not as it appears in the photo. turns out it is not as flattering as it should appear.",Dresses,39716,39716.jpg
